Bib,Place,Name,Division,Div Pos/Count,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
39,20,J Jason WERENSKI,M 25-29,1/17,Wave 1 White,00:17:01,00:01:56,00:23:04,00:01:21,00:19:54,1:03:17,1:03:17
249,21,J Justin CHEN,M 12-18,1/8,Wave 1 White,00:13:18,00:01:49,00:25:02,00:01:05,00:22:04,1:03:19,1:03:19
97,22,K Kevin CONEYS,M 35-39,2/20,Wave 1 White,00:15:55,00:01:33,00:24:11,00:00:58,00:20:57,1:03:34,1:03:34
436,23,A Aj ROBERTSON,M 45-49,2/20,Wave 3 Blue,00:17:05,00:01:45,00:23:40,00:01:26,00:19:49,1:03:45,1:11:45
475,24,J Jack SHAPPY,M 40-44,1/24,Wave 3 Blue,00:16:14,00:01:58,00:22:50,00:01:32,00:21:19,1:03:54,1:11:54
500,25,C Connor CORGARD,M 30-34,3/20,Wave 1 White,00:17:09,00:01:44,00:23:09,00:01:23,00:20:39,1:04:04,1:04:04
435,26,T Todd GUNDERSEN,M 45-49,3/20,Wave 3 Blue,00:17:31,00:01:39,00:22:34,00:00:53,00:21:37,1:04:14,1:12:14
34,27,R Robert CASAL,M Open,1/38,Wave 6 Green,00:16:03,00:01:52,00:23:28,00:00:57,00:22:47,1:05:07,1:25:06
201,28,D David PARKER,M 60-64,1/18,Wave 5 Orange,00:18:09,00:02:05,00:21:59,00:00:52,00:22:17,1:05:22,1:21:32
408,29,J John NIELSEN,M 30-34,4/20,Wave 1 White,00:17:40,00:02:00,00:24:52,00:01:40,00:19:25,1:05:37,1:05:37
73,30,D David PATTINSON,M 35-39,3/20,Wave 1 White,00:17:00,00:01:33,00:23:10,00:00:32,00:23:32,1:05:46,1:05:46
180,31,K Ken LAROSSA,M 55-59,2/25,Wave 5 Orange,00:13:56,00:02:48,00:23:55,00:01:18,00:24:29,1:06:26,1:22:37
218,32,G Glen MALINGS,M 65-69,1/17,Wave 5 Orange,00:15:34,00:01:49,00:23:28,00:01:15,00:24:34,1:06:41,1:22:52
131,33,K Kevin FIORI,M 40-44,2/24,Wave 3 Blue,00:16:56,00:02:27,00:23:01,00:01:27,00:23:21,1:07:13,1:15:13
110,34,R Reuben KERBEN,M 40-44,3/24,Wave 3 Blue,00:19:58,00:02:30,00:23:20,00:01:10,00:20:17,1:07:14,1:15:14
23,35,M Max SCHWALM,M 12-18,2/8,Wave 1 White,00:12:00,00:01:43,00:29:35,00:00:35,00:23:25,1:07:18,1:07:18
45,36,M Michael MARINO,M 25-29,2/17,Wave 1 White,00:17:45,00:01:45,00:24:23,00:00:57,00:22:41,1:07:30,1:07:30
123,37,E Erik SYVERTSEN,M 40-44,4/24,Wave 3 Blue,00:18:43,00:04:31,00:22:41,00:01:59,00:19:42,1:07:35,1:15:35
485,38,N Ned DAILY,M 65-69,2/17,Wave 5 Orange,00:16:01,00:02:09,00:22:24,00:01:21,00:25:40,1:07:36,1:23:46
59,39,A Alex KORINE,M 30-34,5/20,Wave 1 White,00:18:11,00:03:05,00:22:54,00:01:18,00:22:08,1:07:36,1:07:36
468,40,J James HANSEN,M 45-49,4/20,Wave 3 Blue,00:16:45,00:01:16,00:23:45,00:01:00,00:24:54,1:07:41,1:15:41
20,41,J Jasper JOHNSON,M 12-18,3/8,Wave 1 White,00:13:48,00:01:47,00:27:26,00:00:54,00:24:01,1:07:54,1:07:54
440,42,R Roman ORLOWSKI,M 50-54,3/24,Wave 3 Blue,00:17:33,00:02:14,00:23:17,00:01:14,00:23:37,1:07:56,1:15:56
384,43,I Isabella REDA,Top10 Female,2/10,Wave 2 Pink,00:14:04,00:01:03,00:26:31,00:00:51,00:25:37,1:08:06,1:12:05
158,44,M Matthew HART,M 50-54,4/24,Wave 3 Blue,00:15:37,00:02:32,00:23:43,00:01:10,00:25:12,1:08:13,1:16:13
128,45,D Damien BULLARD,M 40-44,5/24,Wave 3 Blue,00:17:31,00:02:39,00:23:06,00:01:02,00:24:04,1:08:22,1:16:21
251,46,J Jack BENDIK,M 25-29,3/17,Wave 1 White,00:17:06,00:03:11,00:24:13,00:01:45,00:22:13,1:08:27,1:08:27
167,47,T Thomas CAPRUSO,M 50-54,5/24,Wave 3 Blue,00:19:02,00:02:56,00:21:52,00:01:41,00:23:06,1:08:38,1:16:38
98,48,A Anthony ZITO,M 35-39,4/20,Wave 1 White,00:17:26,00:02:05,00:23:25,00:01:50,00:23:52,1:08:39,1:08:39
183,49,C Charles MAASS,M 55-59,3/25,Wave 5 Orange,00:14:40,00:02:06,00:24:14,00:01:00,00:26:42,1:08:42,1:24:53
134,50,G Gene FANG,M 45-49,5/20,Wave 3 Blue,00:18:56,00:03:03,00:22:42,00:01:52,00:22:20,1:08:53,1:16:53
202,51,D Danny SELCOW,M 60-64,2/18,Wave 5 Orange,00:18:21,00:01:59,00:23:28,00:01:19,00:24:06,1:09:13,1:25:24
121,52,P Paul KARAVIS,M 40-44,6/24,Wave 3 Blue,00:19:02,00:03:05,00:24:50,00:01:27,00:20:55,1:09:19,1:17:19
87,53,C Colin CERIELLO,M 35-39,5/20,Wave 1 White,00:18:04,00:03:09,00:26:15,00:01:38,00:20:18,1:09:23,1:09:23
442,54,A Andrew HO,M 50-54,6/24,Wave 3 Blue,00:18:46,00:02:16,00:23:48,00:01:20,00:23:24,1:09:34,1:17:34
287,55,G Giovanna CAPONI,Top10 Female,3/10,Wave 2 Pink,00:19:14,00:01:40,00:25:32,00:01:00,00:22:09,1:09:35,1:13:34
175,56,I Itaru NAKAGAWA,M Open,2/38,Wave 3 Blue,00:19:49,00:01:55,00:24:12,00:01:03,00:22:39,1:09:38,1:17:38
447,57,M Marc BOCHNER,M 55-59,4/25,Wave 5 Orange,00:19:45,00:02:43,00:25:01,00:02:20,00:19:55,1:09:44,1:25:55
152,58,B Brandon EBLE,M 45-49,6/20,Wave 3 Blue,00:17:19,00:02:35,00:22:36,00:01:51,00:25:32,1:09:53,1:17:53
306,59,L Lori BROWN,Top10 Female,4/10,Wave 2 Pink,00:16:15,00:02:24,00:29:36,00:01:22,00:20:18,1:09:56,1:13:56
64,60,M Michael ELSASSER,M 30-34,6/20,Wave 1 White,00:19:22,00:02:33,00:25:30,00:00:53,00:21:55,1:10:12,1:10:12
211,61,L Lawrence MARALDO,M 60-64,3/18,Wave 5 Orange,00:14:59,00:02:34,00:24:30,00:01:13,00:26:57,1:10:13,1:26:24
144,62,S Sean CHICK,M 45-49,7/20,Wave 3 Blue,00:17:11,00:03:13,00:23:15,00:01:36,00:25:05,1:10:20,1:18:20
74,63,A Andrew BURKE,M 30-34,7/20,Wave 1 White,00:17:24,00:03:47,00:24:18,00:02:28,00:22:53,1:10:50,1:10:50
85,64,M Michael MOLINO,M 35-39,6/20,Wave 1 White,00:19:54,00:02:26,00:20:42,00:01:32,00:26:24,1:10:59,1:10:59
243,65,T Tyler KORONA,Clydes 39-,1/3,Wave 5 Orange,00:17:24,00:03:06,00:24:25,00:02:04,00:24:11,1:11:10,1:27:21
261,66,M Maya SAMUELS,Top10 Female,5/10,Wave 2 Pink,00:14:39,00:02:29,00:27:10,00:00:55,00:26:04,1:11:18,1:15:17
154,67,C Craig STANCO,M 50-54,7/24,Wave 3 Blue,00:19:00,00:02:14,00:23:32,00:01:45,00:24:54,1:11:26,1:19:26
69,68,M Mark DOURMASHKIN,M 30-34,8/20,Wave 1 White,00:18:48,00:03:19,00:26:05,00:00:50,00:22:25,1:11:26,1:11:26
214,69,S Stephen SHULMAN,M 65-69,3/17,Wave 5 Orange,00:16:38,00:02:13,00:23:52,00:02:01,00:26:55,1:11:39,1:27:50
315,70,J Jamie KERBEN,Top10 Female,6/10,Wave 2 Pink,00:19:24,00:02:38,00:25:45,00:01:39,00:22:40,1:12:07,1:16:07
96,71,W William DUERR,M 35-39,7/20,Wave 1 White,00:20:27,00:03:05,00:23:22,00:01:17,00:24:00,1:12:10,1:12:10
136,72,J Jared KASSCHAU,M 45-49,8/20,Wave 3 Blue,00:18:16,00:02:54,00:27:04,00:02:16,00:21:59,1:12:29,1:20:29
60,73,L Logan KEYS,M 30-34,9/20,Wave 1 White,00:18:30,00:02:37,00:24:27,00:01:25,00:25:36,1:12:35,1:12:35
492,74,E Elizabeth HUNTER,Top10 Female,7/10,Wave 4 Yellow,00:18:59,00:02:03,00:27:55,00:01:43,00:22:11,1:12:51,1:24:50
177,75,D Derek BRINSTER,M 50-54,8/24,Wave 3 Blue,00:14:45,00:02:57,00:25:47,00:02:11,00:27:11,1:12:51,1:20:51
198,76,M Michael SIMONS,M 60-64,4/18,Wave 5 Orange,00:18:17,00:03:15,00:24:46,00:01:05,00:25:36,1:13:00,1:29:11
207,77,D Daniel KATZ,M 60-64,5/18,Wave 5 Orange,00:17:38,00:03:05,00:24:21,00:01:29,00:26:37,1:13:11,1:29:22
386,78,T Theresa MATTEI,Top10 Female,8/10,Wave 2 Pink,00:15:07,00:02:02,00:27:51,00:00:58,00:27:17,1:13:15,1:17:15
93,79,W William FULLER,M 35-39,8/20,Wave 1 White,00:18:09,00:03:42,00:24:13,00:01:49,00:25:25,1:13:18,1:13:18
390,80,A Alexandra NYURGECHOVA,Top10 Female,9/10,Wave 2 Pink,00:19:24,00:03:35,00:26:28,00:03:25,00:20:32,1:13:24,1:17:24
168,81,S Steven SCHWINGER,M 50-54,9/24,Wave 3 Blue,00:16:03,00:04:17,00:26:43,00:02:11,00:24:10,1:13:26,1:21:26
481,82,G Gavin SMITH,M 12-18,4/8,Wave 1 White,00:15:10,00:02:20,00:30:07,00:01:03,00:24:50,1:13:29,1:13:29
99,83,O Orrie MARKFELD,M 35-39,9/20,Wave 1 White,00:20:50,00:01:52,00:26:13,00:00:51,00:23:51,1:13:38,1:13:38
294,84,D Danielle ARONOWITZ,Top10 Female,10/10,Wave 2 Pink,00:16:16,00:02:43,00:26:42,00:01:08,00:26:56,1:13:45,1:17:44
220,85,R Robert KALISH,M 65-69,4/17,Wave 5 Orange,00:17:50,00:03:14,00:24:17,00:02:07,00:26:18,1:13:46,1:29:57
173,86,S Stefan BATHE,M 50-54,10/24,Wave 3 Blue,00:20:00,00:03:29,00:24:11,00:01:34,00:24:39,1:13:53,1:21:53
274,87,K Katie BAIRD,F Open,1/17,Wave 6 Green,00:19:31,00:02:19,00:27:12,00:01:59,00:22:55,1:13:56,1:33:55
335,88,K Kimberly ROOF,F 45-49,1/9,Wave 4 Yellow,00:18:35,00:02:25,00:27:09,00:01:15,00:24:48,1:14:11,1:26:11
174,89,K Keith DORAN,M Open,3/38,Wave 6 Green,00:17:05,00:02:37,00:25:27,00:02:03,00:27:01,1:14:12,1:34:11
27,90,M Matthew WACHS,M Open,4/38,Wave 6 Green,00:21:20,00:02:19,00:26:46,00:01:12,00:22:37,1:14:14,1:34:13
278,91,R Rebecca ALESI,F 25-29,1/12,Wave 2 Pink,00:20:11,00:01:54,00:26:25,00:00:57,00:25:02,1:14:30,1:18:30
360,92,H Helga JUNOLD,F 55-59,1/10,Wave 4 Yellow,00:18:45,00:01:34,00:24:34,00:01:17,00:28:19,1:14:30,1:26:29
94,93,A Andrew RUBIN,M Open,5/38,Wave 6 Green,00:20:35,00:03:09,00:25:38,00:00:50,00:24:18,1:14:30,1:34:29
140,94,J James GRAZIANO,M Open,6/38,Wave 6 Green,00:18:04,00:03:12,00:28:28,00:01:34,00:23:14,1:14:33,1:34:32
310,95,J Jodi BROWN,F 35-39,1/8,Wave 2 Pink,00:14:36,00:02:14,00:29:47,00:01:28,00:26:30,1:14:34,1:18:34
227,96,D Donald GROSS,M 70-74,1/10,Wave 5 Orange,00:15:22,00:03:27,00:24:50,00:01:54,00:29:05,1:14:39,1:30:50
83,97,K Kevin UFFMANN,M 35-39,10/20,Wave 1 White,00:16:37,00:02:44,00:26:17,00:01:11,00:27:58,1:14:46,1:14:46
18,98,K Kai CHENG,M 12-18,5/8,Wave 1 White,00:19:41,00:02:11,00:28:41,00:00:53,00:23:22,1:14:48,1:14:48
21,99,J James MASTERSON,M 12-18,6/8,Wave 1 White,00:18:55,00:02:29,00:27:08,00:00:41,00:25:37,1:14:52,1:14:52
374,100,L Lorraine HUETHER,F 65-69,1/4,Wave 4 Yellow,00:17:41,00:02:24,00:25:16,00:01:17,00:28:20,1:14:59,1:26:58
116,101,J Joe AZZATA,M 40-44,7/24,Wave 3 Blue,00:17:18,00:03:10,00:26:48,00:01:33,00:26:10,1:14:59,1:22:59
466,102,M Matthew BARTELL,M 55-59,5/25,Wave 5 Orange,00:19:20,00:01:48,00:25:48,00:01:27,00:26:39,1:15:03,1:31:13
302,103,E Emily COOPER,F 30-34,1/15,Wave 2 Pink,00:18:04,00:02:28,00:26:49,00:01:42,00:26:04,1:15:07,1:19:07
29,104,J Jonah GLUCK,M 19-24,2/6,Wave 1 White,00:18:50,00:02:33,00:24:56,00:01:24,00:27:28,1:15:11,1:15:11
499,105,J Joel ROSENSTRAUS,M 70-74,2/10,Wave 5 Orange,00:19:49,00:02:09,00:23:41,00:01:55,00:27:42,1:15:16,1:31:26
351,106,L Laura RYAN,F 50-54,1/11,Wave 4 Yellow,00:16:21,00:03:04,00:25:24,00:01:30,00:29:00,1:15:18,1:27:18
62,107,M Moe ABDULLA,M 30-34,10/20,Wave 1 White,00:19:21,00:02:24,00:28:43,00:01:54,00:23:00,1:15:22,1:15:22
17,108,P Pranav MUKHI,M 12-18,7/8,Wave 1 White,00:15:06,00:01:57,00:28:48,00:00:46,00:28:51,1:15:28,1:15:28
61,109,P Peri IPIOTIS,M 30-34,11/20,Wave 1 White,00:24:30,00:03:14,00:23:37,00:01:29,00:22:59,1:15:49,1:15:49
298,110,E Erin GALVIN,F 30-34,2/15,Wave 2 Pink,00:19:22,00:03:23,00:26:26,00:01:23,00:25:23,1:15:57,1:19:56
448,111,M Michael RAGUSA,M 55-59,6/25,Wave 5 Orange,00:20:46,00:01:49,00:24:35,00:01:30,00:27:18,1:15:58,1:32:09
233,112,B Bill EICKELBERG,M 70-74,3/10,Wave 5 Orange,00:15:25,00:02:40,00:28:27,00:01:49,00:27:37,1:15:58,1:32:09
181,113,T Thomas OSTUNI,M 55-59,7/25,Wave 5 Orange,00:16:44,00:02:47,00:26:16,00:02:08,00:28:04,1:15:59,1:32:10
471,114,E Emma ROEHRIG,F 19-24,1/7,Wave 2 Pink,00:16:18,00:02:12,00:26:21,00:01:25,00:29:52,1:16:09,1:20:09
288,115,A Annie NUGENT,F 30-34,3/15,Wave 2 Pink,00:20:46,00:04:25,00:26:31,00:00:59,00:23:35,1:16:16,1:20:15
182,116,J Jorge AGUIRRE,M 55-59,8/25,Wave 5 Orange,00:17:37,00:01:56,00:29:25,00:01:21,00:26:06,1:16:25,1:32:36
340,117,E Emilie MARSHALL,F 45-49,2/9,Wave 4 Yellow,00:17:27,00:02:23,00:28:06,00:01:24,00:27:15,1:16:35,1:28:34
197,118,K Kieran GIBBONS,M 60-64,6/18,Wave 5 Orange,00:21:11,00:02:41,00:27:15,00:01:11,00:24:20,1:16:37,1:32:48
434,119,T Trent HAMPTON,M 45-49,9/20,Wave 3 Blue,00:26:06,00:02:12,00:25:34,00:01:59,00:20:51,1:16:42,1:24:42
86,120,V Vikas ANAND,M 35-39,11/20,Wave 1 White,00:17:21,00:04:06,00:28:16,00:01:42,00:25:22,1:16:46,1:16:46
138,121,M Mathew SULLIVAN,M 45-49,10/20,Wave 3 Blue,00:18:55,00:03:21,00:25:03,00:03:22,00:26:07,1:16:49,1:24:48
397,122,E Eliana THEMISTOCLEOUS,F 55-59,2/10,Wave 4 Yellow,00:19:25,00:02:31,00:27:22,00:01:41,00:25:53,1:16:51,1:28:50
495,123,S Sheera LANDSMAN,F 50-54,2/11,Wave 4 Yellow,00:21:15,00:03:15,00:24:37,00:02:05,00:25:44,1:16:56,1:28:56
452,124,A Anonymous Participant,M 60-64,7/18,Wave 5 Orange,00:20:13,00:03:08,00:25:46,00:01:48,00:26:13,1:17:08,1:33:18
232,125,M Michael PITZER,M 70-74,4/10,Wave 5 Orange,00:20:04,00:03:22,00:25:03,00:00:40,00:27:58,1:17:08,1:33:19
281,126,K Kimberly SMITH,F Open,2/17,Wave 6 Green,00:20:38,00:03:18,00:28:23,00:00:55,00:24:03,1:17:17,1:37:16
92,127,J John DEVIVO,M 35-39,12/20,Wave 1 White,00:20:37,00:02:51,00:26:11,00:01:54,00:25:47,1:17:20,1:17:20
409,128,W William RUGGIERO,M 30-34,12/20,Wave 1 White,00:22:19,00:04:34,00:24:59,00:02:06,00:23:24,1:17:21,1:17:21
327,129,L Lauren SMITH,F 40-44,1/14,Wave 4 Yellow,00:19:09,00:04:00,00:26:47,00:02:06,00:25:21,1:17:22,1:29:22
318,130,Patricia WONG,F 35-39,2/8,Wave 2 Pink,00:22:33,00:03:02,00:24:52,00:01:58,00:25:05,1:17:29,1:21:29
412,131,D David WASHOR,M 35-39,13/20,Wave 1 White,00:20:03,00:02:49,00:27:39,00:00:55,00:26:04,1:17:32,1:17:32
53,132,N Nicholas ARONICA,M 25-29,4/17,Wave 1 White,00:18:12,00:03:25,00:28:53,00:00:59,00:26:06,1:17:35,1:17:35
41,133,C Colin BRINSTER,M 25-29,5/17,Wave 1 White,00:16:07,00:02:52,00:29:10,00:01:01,00:28:31,1:17:40,1:17:40
102,134,S Sam POMERANTZ,M 35-39,14/20,Wave 1 White,00:18:37,00:04:01,00:26:26,00:01:50,00:27:00,1:17:54,1:17:54
477,135,S Stephen SYLWESTER,M 60-64,8/18,Wave 5 Orange,00:24:43,00:03:56,00:23:19,00:01:23,00:24:36,1:17:58,1:34:08
129,136,W William BLAZEY,M 45-49,11/20,Wave 3 Blue,00:19:30,00:02:27,00:26:46,00:02:02,00:27:16,1:18:02,1:26:02
285,137,B Brenda GONZALEZ,F 25-29,2/12,Wave 2 Pink,00:20:09,00:02:37,00:26:56,00:01:18,00:27:13,1:18:13,1:22:13
276,138,A Ashley MANCINO,F 25-29,3/12,Wave 2 Pink,00:20:43,00:03:40,00:29:59,00:01:06,00:22:46,1:18:15,1:22:15
223,139,S Stephen ALBRIGHT,M 65-69,5/17,Wave 5 Orange,00:16:43,00:04:22,00:28:29,00:02:41,00:26:00,1:18:16,1:34:26
90,140,E Edmundo GOMEZ,M 35-39,15/20,Wave 1 White,00:20:09,00:02:30,00:27:27,00:01:45,00:26:27,1:18:18,1:18:18
497,141,U U. BIB 497,M Open,7/38,Wave 5 Orange,00:19:42,00:03:28,00:26:51,00:02:02,00:26:15,1:18:18,1:34:29
224,142,B Brian MCNALLY,M 65-69,6/17,Wave 5 Orange,00:17:53,00:03:45,00:27:05,00:01:34,00:28:05,1:18:22,1:34:33
40,143,K Kenneth ROHL,M 25-29,6/17,Wave 1 White,00:18:47,00:02:05,00:28:03,00:01:00,00:28:32,1:18:27,1:18:27
117,144,E Elliot TURNER,M 40-44,8/24,Wave 3 Blue,00:20:39,00:03:08,00:25:22,00:01:37,00:27:53,1:18:39,1:26:39
275,145,K Kendra GIBBS,F Open,3/17,Wave 6 Green,00:17:00,00:04:48,00:29:14,00:01:23,00:26:19,1:18:43,1:38:42
35,146,C Chris DRURY,M 19-24,3/6,Wave 1 White,00:22:00,00:02:25,00:30:06,00:00:52,00:23:28,1:18:51,1:18:51
169,147,B Brian SULLIVAN,M 50-54,11/24,Wave 3 Blue,00:20:17,00:03:10,00:26:33,00:02:09,00:26:46,1:18:55,1:26:55
368,148,K Karen CONKLING,F 60-64,1/8,Wave 4 Yellow,00:19:37,00:04:08,00:27:22,00:01:19,00:26:32,1:18:58,1:30:58
391,149,J Jacqueline SOBOTA,F 45-49,3/9,Wave 4 Yellow,00:20:32,00:03:20,00:26:53,00:02:34,00:25:40,1:18:58,1:30:58
410,150,J Joseph CANNISI,M 30-34,13/20,Wave 1 White,00:19:52,00:04:40,00:26:43,00:02:49,00:25:09,1:19:13,1:19:13
498,151,J Janine LEVEQUE,F 55-59,3/10,Wave 4 Yellow,00:19:48,00:03:46,00:26:33,00:02:10,00:27:04,1:19:22,1:31:21
455,152,J Jeff GIBAT,M Open,8/38,Wave 1 White,00:21:30,00:03:12,00:26:59,00:01:47,00:25:54,1:19:22,1:19:22
326,153,J Jennifer KRALJIC,F 40-44,2/14,Wave 4 Yellow,00:20:00,00:02:28,00:26:59,00:01:26,00:28:32,1:19:25,1:31:25
31,154,R Ryan CUI,M 19-24,4/6,Wave 1 White,00:13:56,00:01:54,00:34:57,00:00:49,00:27:57,1:19:32,1:19:32
75,155,D Daniel MCCORMICK,M 35-39,16/20,Wave 1 White,00:18:01,00:02:44,00:28:17,00:01:24,00:29:08,1:19:33,1:19:33
239,156,I Ian THOMAS,Clydes 39-,2/3,Wave 5 Orange,00:17:58,00:03:05,00:25:08,00:02:47,00:30:38,1:19:36,1:35:46
203,157,M Mark THOMPSON,M 60-64,9/18,Wave 5 Orange,00:22:46,00:03:21,00:25:35,00:01:32,00:26:30,1:19:43,1:35:54
119,158,D Danny NELSON,M 40-44,9/24,Wave 3 Blue,00:20:16,00:04:01,00:25:39,00:01:59,00:28:00,1:19:54,1:27:54
389,159,A Amanda STAUBITZ,F 30-34,4/15,Wave 2 Pink,00:15:59,00:02:30,00:33:48,00:01:22,00:26:15,1:19:54,1:23:54
149,160,Z Zhi Jie CUI,M 50-54,12/24,Wave 3 Blue,00:20:33,00:03:18,00:29:47,00:00:50,00:25:30,1:19:58,1:27:58
301,161,B Brittany COLASANTO,F 30-34,5/15,Wave 2 Pink,00:20:47,00:04:21,00:28:29,00:02:12,00:24:18,1:20:07,1:24:07
324,162,A Alyssa LOCICERO,F 40-44,3/14,Wave 4 Yellow,00:19:52,00:03:06,00:28:57,00:01:25,00:26:48,1:20:10,1:32:09
473,163,F Filippo IMPENNATO,M 35-39,17/20,Wave 1 White,00:25:14,00:02:45,00:25:12,00:01:40,00:25:21,1:20:13,1:20:13
79,164,G Geoff COCHRANE,M 35-39,18/20,Wave 1 White,00:22:49,00:04:41,00:29:55,00:01:18,00:21:45,1:20:27,1:20:27
43,165,B Brett WOLFF,M 25-29,7/17,Wave 1 White,00:15:59,00:02:30,00:31:23,00:01:12,00:29:23,1:20:28,1:20:28
333,166,C Cristina MATHIESEN,F 40-44,4/14,Wave 4 Yellow,00:19:55,00:02:08,00:27:39,00:01:32,00:29:17,1:20:31,1:32:30
188,167,C Christopher REMUSAT,M 55-59,9/25,Wave 5 Orange,00:19:58,00:05:34,00:27:53,00:01:01,00:26:12,1:20:39,1:36:50
235,168,R Robert OTTO,M 70-74,5/10,Wave 5 Orange,00:19:49,00:02:31,00:25:30,00:01:45,00:31:12,1:20:47,1:36:58
431,169,S Sherwin PARK,M 40-44,10/24,Wave 3 Blue,00:22:52,00:02:37,00:29:01,00:03:01,00:23:29,1:21:00,1:29:00
228,170,T Timothy HEALY,M 65-69,7/17,Wave 5 Orange,00:19:05,00:03:54,00:26:06,00:02:54,00:29:07,1:21:05,1:37:16
186,171,D Daniel FLANZIG,M 55-59,10/25,Wave 5 Orange,00:19:39,00:03:25,00:26:04,00:02:16,00:29:42,1:21:05,1:37:16
30,172,J Jesse CHALIF,M Open,9/38,Wave 6 Green,00:20:22,00:02:31,00:29:29,00:02:01,00:26:44,1:21:06,1:41:05
176,173,J James NAGLE,M Open,10/38,Wave 3 Blue,00:19:17,00:04:04,00:30:10,00:01:42,00:26:03,1:21:16,1:29:16
189,174,J Jeff SICURANZA,M 55-59,11/25,Wave 5 Orange,00:22:14,00:03:09,00:27:16,00:01:15,00:27:30,1:21:25,1:37:35
122,175,T Tarl SMITH,M 40-44,11/24,Wave 3 Blue,00:17:47,00:04:25,00:27:07,00:02:19,00:29:57,1:21:35,1:29:35
309,176,Melissa GERVASI,F 35-39,3/8,Wave 2 Pink,00:19:49,00:03:12,00:26:28,00:01:25,00:30:45,1:21:38,1:25:38
126,177,C Christopher GRANT,M 40-44,12/24,Wave 3 Blue,00:20:57,00:02:27,00:29:03,00:01:01,00:28:12,1:21:40,1:29:39
332,178,S Samantha GESUELE,F 40-44,5/14,Wave 4 Yellow,00:22:33,00:05:07,00:27:36,00:02:38,00:23:49,1:21:43,1:33:42
118,179,Ben POMERANTZ,M 40-44,13/24,Wave 3 Blue,00:24:59,00:03:06,00:24:44,00:02:48,00:26:19,1:21:55,1:29:55
54,180,T Timothy DUFFY,M Open,11/38,Wave 6 Green,00:21:23,00:02:23,00:30:07,00:01:38,00:26:26,1:21:58,1:41:57
210,181,D David GUGERTY,M 60-64,10/18,Wave 5 Orange,00:18:56,00:03:29,00:27:29,00:02:27,00:29:37,1:21:59,1:38:09
329,182,E Eugenia FURNEAUX,F 40-44,6/14,Wave 4 Yellow,00:20:39,00:03:12,00:25:31,00:01:54,00:30:43,1:21:59,1:33:58
